Автошколы;2015-09-08 11:39:53;2015-09-08 11:39:53;1;Обучение
Курсы вождения;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Аренда автомобилей;2015-09-08 11:39:53;2015-09-08 11:39:53;1;Такси, аренда транспорта
Аренда грузового  а;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Аренда спецтехники;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Службы такси;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Вскрытие замков;2015-09-08 11:39:53;2015-09-08 11:39:53;1;Автопомощь
Эвакуация;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Грузоперевозки;2015-09-08 11:39:53;2015-09-08 11:39:53;1;Перевозки
Пассажирские перевозки;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
ГАИ;2015-09-08 11:39:53;2015-09-08 11:39:53;1;ГАИ, гостехосмотр, штрафстоянки
Гостехосмотр;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Платные парковки;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Штрафстоянки;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Запчасти для грузовых авто;2015-09-08 11:39:53;2015-09-08 11:39:53;1;Грузовые авто, спецтехника и прицепы
Запчасти для пассажирского  а;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Запчасти для сельхозтехники;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Запчасти для спецтехники;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Продажа грузовых авто;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Продажа спецтехники;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Продажа и аренда прицепов;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Ремонт грузовых авто и спецтехники;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Магазины автозапчастей;2015-09-08 11:39:53;2015-09-08 11:39:53;1;Запчасти и аксессуары
Аккумуляторы и батареи;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Акустика;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Масла и автохимия;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Охранные системы;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Шины, диски;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Автоломбарды;2015-09-08 11:39:53;2015-09-08 11:39:53;1;Покупка и продажа авто, мототехники
Автодилеры;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Автохаусы;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Мототехника;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Тюнинг;2015-09-08 11:39:53;2015-09-08 11:39:53;1;Тюнинг и дополнительное оборудование
Аудио, видеотехника;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Газовое оборудование;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Дополнительное оборудование;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Сигнализация;2015-09-08 11:39:53;2015-09-08 11:39:53;1; 
Автомойки, химчистки;2015-09-08 11:39:53;2015-09-08 11:39:53;1;Автозаправки, мойки
АЗС;2015-09-08 11:39:53;2015-09-08 11:39:53;1;
Оборудование для СТО, шиномонтажей и моек;2015-09-08 11:39:53;2015-09-08 11:39:53;1;СТО и ремонт
СТО;2015-09-08 11:39:53;2015-09-08 11:39:53;1;
Химчистки;2015-09-08 11:39:53;2015-09-08 11:39:53;2;Бытовые услуги
Услуги прачечных;2015-09-08 11:39:53;2015-09-08 11:39:53;2; 
